Epoch [161/1500], Loss: 0.4281
Epoch [162/1500], Loss: 0.4272
Epoch [163/1500], Loss: 0.4262
Epoch [164/1500], Loss: 0.4253
Epoch [165/1500], Loss: 0.4243
Epoch [166/1500], Loss: 0.4234
Epoch [167/1500], Loss: 0.4224
Epoch [168/1500], Loss: 0.4215
Epoch [169/1500], Loss: 0.4206
Epoch [170/1500], Loss: 0.4197
Epoch [171/1500], Loss: 0.4188
Epoch [172/1500], Loss: 0.4179
Epoch [173/1500], Loss: 0.4170
Epoch [174/1500], Loss: 0.4161
Epoch [175/1500], Loss: 0.4152
Epoch [176/1500], Loss: 0.4143
Epoch [177/1500], Loss: 0.4134
Epoch [178/1500], Loss: 0.4126
Epoch [179/1500], Loss: 0.4117
Epoch [180/1500], Loss: 0.4108
Epoch [181/1500], Loss: 0.4100
Epoch [182/1500], Loss: 0.4091
Epoch [183/1500], Loss: 0.4083
Epoch [184/1500], Loss: 0.4075
Epoch [185/1500], Loss: 0.4066
Epoch [186/1500], Loss: 0.4058
Epoch [187/1500], Loss: 0.4050
Epoch [188/1500], Loss: 0.4042
Epoch [189/1500], Loss: 0.4034
Epoch [190/1500], Loss: 0.4026
Epoch [191/1500], Loss: 0.4018
Epoch [192/1500], Loss: 0.4010
Epoch [193/1500], Loss: 0.4002
Epoch [194/1500], Loss: 0.3994
Epoch [195/1500], Loss: 0.3986
Epoch [196/1500], Loss: 0.3979
Epoch [197/1500], Loss: 0.3971
Epoch [198/1500], Loss: 0.3964
Epoch [199/1500], Loss: 0.3956
Epoch [200/1500], Loss: 0.3949
Epoch [201/1500], Loss: 0.3941
Epoch [202/1500], Loss: 0.3934
Epoch [203/1500], Loss: 0.3927
Epoch [204/1500], Loss: 0.3919
Epoch [205/1500], Loss: 0.3912
Epoch [206/1500], Loss: 0.3905
Epoch [207/1500], Loss: 0.3898
Epoch [208/1500], Loss: 0.3891
Epoch [209/1500], Loss: 0.3884
Epoch [210/1500], Loss: 0.3877
Epoch [211/1500], Loss: 0.3870
Epoch [212/1500], Loss: 0.3863
Epoch [213/1500], Loss: 0.3856
Epoch [214/1500], Loss: 0.3850
Epoch [215/1500], Loss: 0.3843
Epoch [216/1500], Loss: 0.3836
Epoch [217/1500], Loss: 0.3830
Epoch [218/1500], Loss: 0.3823
Epoch [219/1500], Loss: 0.3817
Epoch [220/1500], Loss: 0.3810
Epoch [221/1500], Loss: 0.3804
Epoch [222/1500], Loss: 0.3797
Epoch [223/1500], Loss: 0.3791
Epoch [224/1500], Loss: 0.3785
Epoch [225/1500], Loss: 0.3779
Epoch [226/1500], Loss: 0.3772
Epoch [227/1500], Loss: 0.3766
Epoch [228/1500], Loss: 0.3760
Epoch [229/1500], Loss: 0.3754
Epoch [230/1500], Loss: 0.3748
Epoch [231/1500], Loss: 0.3742
Epoch [232/1500], Loss: 0.3736
Epoch [233/1500], Loss: 0.3731
Epoch [234/1500], Loss: 0.3725
Epoch [235/1500], Loss: 0.3719
Epoch [236/1500], Loss: 0.3713
Epoch [237/1500], Loss: 0.3708
Epoch [238/1500], Loss: 0.3702
Epoch [239/1500], Loss: 0.3696
Epoch [240/1500], Loss: 0.3691
Epoch [241/1500], Loss: 0.3685
Epoch [242/1500], Loss: 0.3680
Epoch [243/1500], Loss: 0.3674
Epoch [244/1500], Loss: 0.3669
Epoch [245/1500], Loss: 0.3664
Epoch [246/1500], Loss: 0.3658
Epoch [247/1500], Loss: 0.3653
Epoch [248/1500], Loss: 0.3648
Epoch [249/1500], Loss: 0.3642
Epoch [250/1500], Loss: 0.3637
Epoch [251/1500], Loss: 0.3632
Epoch [252/1500], Loss: 0.3627
Epoch [253/1500], Loss: 0.3622
Epoch [254/1500], Loss: 0.3617
Epoch [255/1500], Loss: 0.3612
Epoch [256/1500], Loss: 0.3607
Epoch [257/1500], Loss: 0.3602
Epoch [258/1500], Loss: 0.3597
Epoch [259/1500], Loss: 0.3592
Epoch [260/1500], Loss: 0.3587
Epoch [261/1500], Loss: 0.3582
Epoch [262/1500], Loss: 0.3577
Epoch [263/1500], Loss: 0.3573
Epoch [264/1500], Loss: 0.3568
Epoch [265/1500], Loss: 0.3563
Epoch [266/1500], Loss: 0.3559
Epoch [267/1500], Loss: 0.3554
Epoch [268/1500], Loss: 0.3549
Epoch [269/1500], Loss: 0.3545
Epoch [270/1500], Loss: 0.3540
Epoch [271/1500], Loss: 0.3536
Epoch [272/1500], Loss: 0.3531
Epoch [273/1500], Loss: 0.3527
Epoch [274/1500], Loss: 0.3522
Epoch [275/1500], Loss: 0.3518
Epoch [276/1500], Loss: 0.3513
Epoch [277/1500], Loss: 0.3509
Epoch [278/1500], Loss: 0.3505
Epoch [279/1500], Loss: 0.3500
Epoch [280/1500], Loss: 0.3496
Epoch [281/1500], Loss: 0.3492
Epoch [282/1500], Loss: 0.3488
Epoch [283/1500], Loss: 0.3483
Epoch [284/1500], Loss: 0.3479
Epoch [285/1500], Loss: 0.3475
Epoch [286/1500], Loss: 0.3471
Epoch [287/1500], Loss: 0.3467
Epoch [288/1500], Loss: 0.3463
Epoch [289/1500], Loss: 0.3459
Epoch [290/1500], Loss: 0.3455
Epoch [291/1500], Loss: 0.3451
Epoch [292/1500], Loss: 0.3447
Epoch [293/1500], Loss: 0.3443
Epoch [294/1500], Loss: 0.3439
Epoch [295/1500], Loss: 0.3435
Epoch [296/1500], Loss: 0.3431
Epoch [297/1500], Loss: 0.3427
Epoch [298/1500], Loss: 0.3423
Epoch [299/1500], Loss: 0.3419
Epoch [300/1500], Loss: 0.3415
Epoch [301/1500], Loss: 0.3412
Epoch [302/1500], Loss: 0.3408
Epoch [303/1500], Loss: 0.3404
Epoch [304/1500], Loss: 0.3400
Epoch [305/1500], Loss: 0.3397
Epoch [306/1500], Loss: 0.3393
Epoch [307/1500], Loss: 0.3389
Epoch [308/1500], Loss: 0.3386
Epoch [309/1500], Loss: 0.3382
Epoch [310/1500], Loss: 0.3378
Epoch [311/1500], Loss: 0.3375
Epoch [312/1500], Loss: 0.3371
Epoch [313/1500], Loss: 0.3368
Epoch [314/1500], Loss: 0.3364
Epoch [315/1500], Loss: 0.3361
Epoch [316/1500], Loss: 0.3357
Epoch [317/1500], Loss: 0.3354
Epoch [318/1500], Loss: 0.3350
Epoch [319/1500], Loss: 0.3347
Epoch [320/1500], Loss: 0.3343
Epoch [321/1500], Loss: 0.3340
Epoch [322/1500], Loss: 0.3336
Epoch [323/1500], Loss: 0.3333
Epoch [324/1500], Loss: 0.3330
Epoch [325/1500], Loss: 0.3326
Epoch [326/1500], Loss: 0.3323
Epoch [327/1500], Loss: 0.3320
Epoch [328/1500], Loss: 0.3316
Epoch [329/1500], Loss: 0.3313
Epoch [330/1500], Loss: 0.3310
Epoch [331/1500], Loss: 0.3306
Epoch [332/1500], Loss: 0.3303
Epoch [333/1500], Loss: 0.3300
Epoch [334/1500], Loss: 0.3297
Epoch [335/1500], Loss: 0.3293
Epoch [336/1500], Loss: 0.3290
Epoch [337/1500], Loss: 0.3287
Epoch [338/1500], Loss: 0.3284
Epoch [339/1500], Loss: 0.3281
Epoch [340/1500], Loss: 0.3278
Epoch [341/1500], Loss: 0.3274
Epoch [342/1500], Loss: 0.3271
Epoch [343/1500], Loss: 0.3268
Epoch [344/1500], Loss: 0.3265
Epoch [345/1500], Loss: 0.3262
Epoch [346/1500], Loss: 0.3259
Epoch [347/1500], Loss: 0.3256
Epoch [348/1500], Loss: 0.3253
Epoch [349/1500], Loss: 0.3250
Epoch [350/1500], Loss: 0.3247
Epoch [351/1500], Loss: 0.3244
Epoch [352/1500], Loss: 0.3241
Epoch [353/1500], Loss: 0.3238
Epoch [354/1500], Loss: 0.3235
Epoch [355/1500], Loss: 0.3232
Epoch [356/1500], Loss: 0.3229
Epoch [357/1500], Loss: 0.3226
Epoch [358/1500], Loss: 0.3223
Epoch [359/1500], Loss: 0.3220
Epoch [360/1500], Loss: 0.3217
Epoch [361/1500], Loss: 0.3214
Epoch [362/1500], Loss: 0.3211
Epoch [363/1500], Loss: 0.3209
Epoch [364/1500], Loss: 0.3206
Epoch [365/1500], Loss: 0.3203
Epoch [366/1500], Loss: 0.3200
Epoch [367/1500], Loss: 0.3197
Epoch [368/1500], Loss: 0.3194
Epoch [369/1500], Loss: 0.3192
Epoch [370/1500], Loss: 0.3189
Epoch [371/1500], Loss: 0.3186
Epoch [372/1500], Loss: 0.3183
Epoch [373/1500], Loss: 0.3181
Epoch [374/1500], Loss: 0.3178
Epoch [375/1500], Loss: 0.3175
Epoch [376/1500], Loss: 0.3173
Epoch [377/1500], Loss: 0.3170
Epoch [378/1500], Loss: 0.3167
Epoch [379/1500], Loss: 0.3165
Epoch [380/1500], Loss: 0.3162
Epoch [381/1500], Loss: 0.3159
Epoch [382/1500], Loss: 0.3157
Epoch [383/1500], Loss: 0.3154
Epoch [384/1500], Loss: 0.3151
Epoch [385/1500], Loss: 0.3149
Epoch [386/1500], Loss: 0.3146
Epoch [387/1500], Loss: 0.3144
Epoch [388/1500], Loss: 0.3141
Epoch [389/1500], Loss: 0.3138
Epoch [390/1500], Loss: 0.3136
Epoch [391/1500], Loss: 0.3133
Epoch [392/1500], Loss: 0.3131
Epoch [393/1500], Loss: 0.3128
Epoch [394/1500], Loss: 0.3126
Epoch [395/1500], Loss: 0.3123
Epoch [396/1500], Loss: 0.3121
Epoch [397/1500], Loss: 0.3118
Epoch [398/1500], Loss: 0.3115
Epoch [399/1500], Loss: 0.3113
Epoch [400/1500], Loss: 0.3110
Epoch [401/1500], Loss: 0.3108
Epoch [402/1500], Loss: 0.3105
Epoch [403/1500], Loss: 0.3103
Epoch [404/1500], Loss: 0.3101
Epoch [405/1500], Loss: 0.3098
Epoch [406/1500], Loss: 0.3096
Epoch [407/1500], Loss: 0.3093
Epoch [408/1500], Loss: 0.3091
Epoch [409/1500], Loss: 0.3088
Epoch [410/1500], Loss: 0.3086
Epoch [411/1500], Loss: 0.3083
Epoch [412/1500], Loss: 0.3081
Epoch [413/1500], Loss: 0.3079
Epoch [414/1500], Loss: 0.3076
Epoch [415/1500], Loss: 0.3074
Epoch [416/1500], Loss: 0.3071
Epoch [417/1500], Loss: 0.3069
Epoch [418/1500], Loss: 0.3067
Epoch [419/1500], Loss: 0.3064
Epoch [420/1500], Loss: 0.3062
Epoch [421/1500], Loss: 0.3059
Epoch [422/1500], Loss: 0.3057
Epoch [423/1500], Loss: 0.3055
Epoch [424/1500], Loss: 0.3052
Epoch [425/1500], Loss: 0.3050
Epoch [426/1500], Loss: 0.3048
Epoch [427/1500], Loss: 0.3045
Epoch [428/1500], Loss: 0.3043
Epoch [429/1500], Loss: 0.3041
Epoch [430/1500], Loss: 0.3038
Epoch [431/1500], Loss: 0.3036
Epoch [432/1500], Loss: 0.3034
Epoch [433/1500], Loss: 0.3031
Epoch [434/1500], Loss: 0.3029
Epoch [435/1500], Loss: 0.3027
Epoch [436/1500], Loss: 0.3024
Epoch [437/1500], Loss: 0.3022
Epoch [438/1500], Loss: 0.3020
Epoch [439/1500], Loss: 0.3017
Epoch [440/1500], Loss: 0.3015
Epoch [441/1500], Loss: 0.3013
Epoch [442/1500], Loss: 0.3010
Epoch [443/1500], Loss: 0.3008
Epoch [444/1500], Loss: 0.3006
Epoch [445/1500], Loss: 0.3004
Epoch [446/1500], Loss: 0.3001
Epoch [447/1500], Loss: 0.2999
Epoch [448/1500], Loss: 0.2997
Epoch [449/1500], Loss: 0.2995
Epoch [450/1500], Loss: 0.2992
Epoch [451/1500], Loss: 0.2990
Epoch [452/1500], Loss: 0.2988
Epoch [453/1500], Loss: 0.2986
Epoch [454/1500], Loss: 0.2983
Epoch [455/1500], Loss: 0.2981
Epoch [456/1500], Loss: 0.2979
Epoch [457/1500], Loss: 0.2977
Epoch [458/1500], Loss: 0.2974
Epoch [459/1500], Loss: 0.2972
Epoch [460/1500], Loss: 0.2970
Epoch [461/1500], Loss: 0.2968
Epoch [462/1500], Loss: 0.2965
Epoch [463/1500], Loss: 0.2963
Epoch [464/1500], Loss: 0.2961
Epoch [465/1500], Loss: 0.2959
Epoch [466/1500], Loss: 0.2957
Epoch [467/1500], Loss: 0.2954
Epoch [468/1500], Loss: 0.2952
Epoch [469/1500], Loss: 0.2950
Epoch [470/1500], Loss: 0.2948
Epoch [471/1500], Loss: 0.2946
Epoch [472/1500], Loss: 0.2943
Epoch [473/1500], Loss: 0.2941
Epoch [474/1500], Loss: 0.2939
Epoch [475/1500], Loss: 0.2937
Epoch [476/1500], Loss: 0.2935
Epoch [477/1500], Loss: 0.2932
Epoch [478/1500], Loss: 0.2930
Epoch [479/1500], Loss: 0.2928
Epoch [480/1500], Loss: 0.2926
Epoch [481/1500], Loss: 0.2924
Epoch [482/1500], Loss: 0.2922
Epoch [483/1500], Loss: 0.2920
Epoch [484/1500], Loss: 0.2917
Epoch [485/1500], Loss: 0.2915
Epoch [486/1500], Loss: 0.2913
Epoch [487/1500], Loss: 0.2911
Epoch [488/1500], Loss: 0.2909
Epoch [489/1500], Loss: 0.2907
Epoch [490/1500], Loss: 0.2905
Epoch [491/1500], Loss: 0.2903
Epoch [492/1500], Loss: 0.2901
Epoch [493/1500], Loss: 0.2898
Epoch [494/1500], Loss: 0.2896
Epoch [495/1500], Loss: 0.2894
Epoch [496/1500], Loss: 0.2892
Epoch [497/1500], Loss: 0.2890
Epoch [498/1500], Loss: 0.2888
Epoch [499/1500], Loss: 0.2886
Epoch [500/1500], Loss: 0.2884
Epoch [501/1500], Loss: 0.2882
Epoch [502/1500], Loss: 0.2880
Epoch [503/1500], Loss: 0.2878
Epoch [504/1500], Loss: 0.2876
Epoch [505/1500], Loss: 0.2874
Epoch [506/1500], Loss: 0.2872
Epoch [507/1500], Loss: 0.2870
Epoch [508/1500], Loss: 0.2868
Epoch [509/1500], Loss: 0.2866
Epoch [510/1500], Loss: 0.2864
Epoch [511/1500], Loss: 0.2862
Epoch [512/1500], Loss: 0.2859
Epoch [513/1500], Loss: 0.2857
Epoch [514/1500], Loss: 0.2855
Epoch [515/1500], Loss: 0.2853
Epoch [516/1500], Loss: 0.2851
Epoch [517/1500], Loss: 0.2849
Epoch [518/1500], Loss: 0.2847
Epoch [519/1500], Loss: 0.2845
Epoch [520/1500], Loss: 0.2843
Epoch [521/1500], Loss: 0.2841
Epoch [522/1500], Loss: 0.2839
Epoch [523/1500], Loss: 0.2837
Epoch [524/1500], Loss: 0.2835
Epoch [525/1500], Loss: 0.2833
Epoch [526/1500], Loss: 0.2831
Epoch [527/1500], Loss: 0.2829
Epoch [528/1500], Loss: 0.2827
Epoch [529/1500], Loss: 0.2825
Epoch [530/1500], Loss: 0.2823
Epoch [531/1500], Loss: 0.2821
Epoch [532/1500], Loss: 0.2819
Epoch [533/1500], Loss: 0.2817
Epoch [534/1500], Loss: 0.2816
Epoch [535/1500], Loss: 0.2814
Epoch [536/1500], Loss: 0.2812
Epoch [537/1500], Loss: 0.2810
Epoch [538/1500], Loss: 0.2808
Epoch [539/1500], Loss: 0.2806
Epoch [540/1500], Loss: 0.2804
Epoch [541/1500], Loss: 0.2802
Epoch [542/1500], Loss: 0.2800
Epoch [543/1500], Loss: 0.2798
Epoch [544/1500], Loss: 0.2796
Epoch [545/1500], Loss: 0.2794
Epoch [546/1500], Loss: 0.2792
Epoch [547/1500], Loss: 0.2790
Epoch [548/1500], Loss: 0.2788
Epoch [549/1500], Loss: 0.2786
Epoch [550/1500], Loss: 0.2784
Epoch [551/1500], Loss: 0.2782
Epoch [552/1500], Loss: 0.2781
Epoch [553/1500], Loss: 0.2779
Epoch [554/1500], Loss: 0.2777
Epoch [555/1500], Loss: 0.2775
Epoch [556/1500], Loss: 0.2773
Epoch [557/1500], Loss: 0.2771
Epoch [558/1500], Loss: 0.2769
Epoch [559/1500], Loss: 0.2767
Epoch [560/1500], Loss: 0.2765
Epoch [561/1500], Loss: 0.2763
Epoch [562/1500], Loss: 0.2761
Epoch [563/1500], Loss: 0.2759
Epoch [564/1500], Loss: 0.2757
Epoch [565/1500], Loss: 0.2756
Epoch [566/1500], Loss: 0.2754
Epoch [567/1500], Loss: 0.2752
Epoch [568/1500], Loss: 0.2750
Epoch [569/1500], Loss: 0.2748
Epoch [570/1500], Loss: 0.2746
Epoch [571/1500], Loss: 0.2744
Epoch [572/1500], Loss: 0.2742
Epoch [573/1500], Loss: 0.2740
Epoch [574/1500], Loss: 0.2738
Epoch [575/1500], Loss: 0.2736
Epoch [576/1500], Loss: 0.2734
Epoch [577/1500], Loss: 0.2732
Epoch [578/1500], Loss: 0.2731
Epoch [579/1500], Loss: 0.2729
Epoch [580/1500], Loss: 0.2727
Epoch [581/1500], Loss: 0.2725
Epoch [582/1500], Loss: 0.2723
Epoch [583/1500], Loss: 0.2721
Epoch [584/1500], Loss: 0.2719
Epoch [585/1500], Loss: 0.2717
Epoch [586/1500], Loss: 0.2715
Epoch [587/1500], Loss: 0.2714
Epoch [588/1500], Loss: 0.2712
Epoch [589/1500], Loss: 0.2710
Epoch [590/1500], Loss: 0.2708
Epoch [591/1500], Loss: 0.2706
Epoch [592/1500], Loss: 0.2704
Epoch [593/1500], Loss: 0.2703
Epoch [594/1500], Loss: 0.2701
Epoch [595/1500], Loss: 0.2699
Epoch [596/1500], Loss: 0.2697
Epoch [597/1500], Loss: 0.2695
Epoch [598/1500], Loss: 0.2694
Epoch [599/1500], Loss: 0.2692
Epoch [600/1500], Loss: 0.2690
Epoch [601/1500], Loss: 0.2688
Epoch [602/1500], Loss: 0.2686
Epoch [603/1500], Loss: 0.2685
